series	season	category	title
classic-who	18	Main Show	The Leisure Hive (1)
classic-who	18	Main Show	The Leisure Hive (2)
classic-who	18	Main Show	The Leisure Hive (3)
classic-who	18	Main Show	The Leisure Hive (4)
classic-who	18	Main Show	Meglos (1)
classic-who	18	Main Show	Meglos (2)
classic-who	18	Main Show	Meglos (3)
classic-who	18	Main Show	Meglos (4)
classic-who	18	Main Show	Full Circle (1)
classic-who	18	Main Show	Full Circle (2)
classic-who	18	Main Show	Full Circle (3)
classic-who	18	Main Show	Full Circle (4)
classic-who	18	Main Show	State of Decay (1)
classic-who	18	Main Show	State of Decay (2)
classic-who	18	Main Show	State of Decay (3)
classic-who	18	Main Show	State of Decay (4)
classic-who	18	Main Show	Warriors' Gate (1)
classic-who	18	Main Show	Warriors' Gate (2)
classic-who	18	Main Show	Warriors' Gate (3)
classic-who	18	Main Show	Warriors' Gate (4)
classic-who	18	Main Show	The Keeper of Traken (1)
classic-who	18	Main Show	The Keeper of Traken (2)
classic-who	18	Main Show	The Keeper of Traken (3)
classic-who	18	Main Show	The Keeper of Traken (4)
classic-who	18	Main Show	Logopolis (1)
classic-who	18	Main Show	Logopolis (2)
classic-who	18	Main Show	Logopolis (3)
classic-who	18	Main Show	Logopolis (4)
classic-who	18	Special	K9 & Company: A Girl's Best Friend
classic-who	19	Main Show	Castrovalva (1)
classic-who	19	Main Show	Castrovalva (2)
classic-who	19	Main Show	Castrovalva (3)
classic-who	19	Main Show	Castrovalva (4)
classic-who	19	Main Show	Four to Doomsday (1)
classic-who	19	Main Show	Four to Doomsday (2)
classic-who	19	Main Show	Four to Doomsday (3)
classic-who	19	Main Show	Four to Doomsday (4)
classic-who	19	Main Show	Kinda (1)
classic-who	19	Main Show	Kinda (2)
classic-who	19	Main Show	Kinda (3)
classic-who	19	Main Show	Kinda (4)
classic-who	19	Main Show	The Visitation (1)
classic-who	19	Main Show	The Visitation (2)
classic-who	19	Main Show	The Visitation (3)
classic-who	19	Main Show	The Visitation (4)
classic-who	19	Main Show	Black Orchid (1)
classic-who	19	Main Show	Black Orchid (2)
classic-who	19	Main Show	Earthshock (1)
classic-who	19	Main Show	Earthshock (2)
classic-who	19	Main Show	Earthshock (3)
classic-who	19	Main Show	Earthshock (4)
classic-who	19	Main Show	Time-Flight (1)
classic-who	19	Main Show	Time-Flight (2)
classic-who	19	Main Show	Time-Flight (3)
classic-who	19	Main Show	Time-Flight (4)
